number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.03967229746783927,2025-04-10 21:20:26.690781,2025-04-10 21:20:26.805500,0 days 00:00:00.114719,0.597275184399823,2.359998534932845,0.28272264375150746,7,508,0.6585169433657337,0.7987304455589199,0.5383035992428645,COMPLETE
1,0.04363389119653503,2025-04-10 21:20:26.805822,2025-04-10 21:20:26.884360,0 days 00:00:00.078538,0.9940362120091155,4.179234664044293,0.19432388055248823,6,333,0.6154810365463504,0.010006501604732487,0.8451673636131014,COMPLETE
2,0.025122049346639936,2025-04-10 21:20:26.884543,2025-04-10 21:20:26.971162,0 days 00:00:00.086619,0.8930416435401161,0.8349160469145372,0.24138637046452316,8,368,0.7259635713349166,0.99630197924941,0.9156870731263562,COMPLETE
3,0.036776867415132954,2025-04-10 21:20:26.971340,2025-04-10 21:20:27.048673,0 days 00:00:00.077333,0.8581188353259427,2.6070931620284865,0.28962345021655755,7,327,0.35391362795195136,0.8628806458421594,0.7906285233394051,COMPLETE
4,0.038647650956655503,2025-04-10 21:20:27.048850,2025-04-10 21:20:27.124687,0 days 00:00:00.075837,0.5478374596689073,2.411083423391689,0.2869255307463302,5,324,0.30859188974609064,0.898517999492834,0.7267280000996732,COMPLETE
5,0.016734643648926427,2025-04-10 21:20:27.124857,2025-04-10 21:20:27.253289,0 days 00:00:00.128432,0.754914314922317,0.05551082621644332,0.23843345366552082,5,535,0.4302532366500046,0.8862877572197798,0.6716764374693099,COMPLETE
6,0.03763106010067199,2025-04-10 21:20:27.253471,2025-04-10 21:20:27.389695,0 days 00:00:00.136224,0.5345511847033046,2.505686156653988,0.14401733404683076,8,591,0.2181082869494787,0.08754928045687316,0.6974243135660219,COMPLETE
7,0.02373012774636942,2025-04-10 21:20:27.389870,2025-04-10 21:20:27.501479,0 days 00:00:00.111609,0.8693698361980253,0.7278245757503243,0.2966205606788984,9,520,0.007781598499135067,0.26694229838078454,0.8679073339989872,COMPLETE
8,0.03840993669098657,2025-04-10 21:20:27.501682,2025-04-10 21:20:27.579251,0 days 00:00:00.077569,0.8936753456252147,3.230779125882636,0.2838062401358094,3,330,0.37115411574707435,0.13617826764854257,0.8346149275524175,COMPLETE
9,0.041443378672274676,2025-04-10 21:20:27.579442,2025-04-10 21:20:27.683360,0 days 00:00:00.103918,0.82178084315383,2.163212736171812,0.14785537729181447,7,442,0.9092449825209387,0.821106208363632,0.5214643954452842,COMPLETE
